,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
48,Female,18,Teacher,Govt.,84.0,1h to 1.5h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer",3.74
49,Male,20,Unemployed,Govt.,83.0,3h to 5h,Family,0,4,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.81
50,Male,21,Businessman,Govt.,76.0,1.5h to 3h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.77
51,Male,20,Not Applicable,Govt.,72.0,1h to 1.5h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",2.73
52,Male,19,Engineer,Govt.,77.0,1.5h to 3h,Family,0,4,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.11
53,Male,20,Retired,Govt.,80.0,1.5h to 3h,Family,0,4,Decease,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.41
54,Male,19,Teacher,Govt.,65.0,3h to 5h,Bachelor,0,14,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.32
55,Male,20,Businessman,Private,75.0,1.5h to 3h,Bachelor,0,8,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Computer",2.51
56,Male,19,Other,Govt.,76.0,1h to 1.5h,Bachelor,0,4,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.71
57,Female,20,Businessman,Govt.,84.0,3h to 5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer",3.74
58,Female,20,Businessman,Govt.,80.0,3h to 5h,Family,0,6,Alive,4h to 6h,Merit,Owned,Yes,"Mobile, Laptop",3.31
59,Male,18,"Services (i.e. Police, Railways, Administrative etc.)",Govt.,83.0,1.5h to 3h,Family,1,4,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.32
60,Male,19,Other,Private,88.0,1.5h to 3h,Bachelor,0,5,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.18
61,Male,20,Not Applicable,Govt.,70.0,1.5h to 3h,Family,0,3,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer",3.64
62,Male,17,"Services (i.e. Police, Railways, Administrative etc.)",Govt.,78.0,8h+,Family,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer, Printer",2.9
63,Male,19,Teacher,Private,80.0,3h to 5h,Family,1,6,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop",2.97
64,Male,21,Other,Private,83.0,1h to 1.5h,Family,0,5,Alive,4h to 6h,Merit,Owned,Yes,"Mobile, Laptop",2.97
65,Female,19,Retired,Govt.,85.0,1h to 1.5h,Family,0,6,Alive,3h to 4h,Merit,Owned,No,Mobile,3.74
66,Male,19,Engineer,Private,80.0,1.5h to 3h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.46
67,Male,19,Businessman,Govt.,73.0,3h to 5h,Family,0,5,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.79
68,Female,20,Businessman,Private,78.0,3h to 5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.76
69,Female,19,Not Applicable,Govt.,80.0,8h+,Family,0,2,Decease,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.78
70,Male,18,Labor,Private,80.0,1.5h to 3h,Bachelor,0,8,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Printer",3.43
71,Male,20,Other,Private,86.0,1h to 1.5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.79
72,Male,22,Doctor,Private,83.0,1h to 1.5h,Family,0,5,Alive,3h to 4h,Self-Finance,Owned,Yes,"Mobile, Laptop, Printer",3.27
73,Female,19,Other,Govt.,80.0,1h to 1.5h,Family,0,4,Alive,4h to 6h,Merit,Owned,Yes,"Mobile, Laptop",3.81
74,Male,20,Businessman,Private,82.0,1.5h to 3h,Bachelor,1,5,Alive,6h to 10h,Self-Finance,Rented,Yes,"Mobile, Laptop",3.32
75,Female,20,Other,Govt.,86.0,1.5h to 3h,Family,0,4,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.68
76,Female,18,Teacher,Private,78.0,1.5h to 3h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.09
77,Male,19,Other,Private,77.0,1.5h to 3h,Bachelor,0,4,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",2.21
78,Female,18,Doctor,Private,80.0,1h to 1.5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.71
79,Male,22,Other,Govt.,80.0,1h to 1.5h,Family,0,6,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop, Printer",2.85
80,Male,22,Other,Govt.,80.0,1h to 1.5h,Family,1,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Printer",3.32
81,Male,22,Other,Govt.,80.0,1h to 1.5h,Family,4,6,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop, Printer",3.32
82,Male,22,Unemployed,Govt.,78.0,3h to 5h,Bachelor,0,7,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.15
83,Male,22,Unemployed,Govt.,78.0,3h to 5h,Bachelor,0,7,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.82
84,Male,22,Unemployed,Govt.,78.0,3h to 5h,Bachelor,0,7,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.93
85,Male,23,Retired,Govt.,75.0,3h to 5h,Family,0,8,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Computer, Printer",3.65
86,Male,23,Retired,Govt.,75.0,3h to 5h,Family,0,8,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Computer, Printer",3.74
87,Male,23,Retired,Govt.,75.0,1h to 1.5h,Family,0,8,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Computer, Printer",3.46
88,Male,21,Other,Private,90.0,1h to 1.5h,Family,0,5,Decease,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop, Printer",4.0
89,Male,21,Other,Private,90.0,1h to 1.5h,Family,0,5,Decease,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Printer",3.91
90,Male,21,Other,Private,90.0,1h to 1.5h,Family,0,5,Decease,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Printer",3.83
91,Male,20,Other,Private,68.0,1h to 1.5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.0
92,Male,20,Other,Private,68.0,1h to 1.5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.45
93,Male,20,Other,Private,68.0,1h to 1.5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer",2.33
94,Male,23,Other,Govt.,87.0,3h to 5h,Family,0,6,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",2.5
95,Male,23,Other,Govt.,87.0,3h to 5h,Family,2,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.5
96,Male,23,Other,Govt.,87.0,3h to 5h,Family,3,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.5
97,Male,21,Doctor,Govt.,75.0,1h to 1.5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,Mobile,3.0
98,Male,21,Doctor,Govt.,75.0,3h to 5h,Family,0,5,Alive,4h to 6h,Merit,Owned,Yes,Mobile,2.75
99,Male,21,Doctor,Govt.,75.0,1h to 1.5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,Mobile,2.51
